"id","category","subcategory","english","chinese","notes","translated_english"
"1","neutral","everyday_action","I opened the window in the morning.","我早上打开了窗户。","simple daily action","This morning, I opened the window."
"2","neutral","everyday_action","She washed her cup after breakfast.","她吃完早饭后洗了杯子。","simple daily action","After finishing breakfast, she cleaned her cup."
"3","neutral","everyday_action","He put his keys on the table.","他把钥匙放在桌上。","simple daily action","He set the keys down on the table."
"4","neutral","everyday_action","I walked to the store nearby.","我走路去了附近的商店。","simple daily action","I went on foot to a nearby shop."
"5","neutral","everyday_action","They cleaned the room together.","他们一起打扫了房间。","simple daily action","They tidied the room together."
"6","neutral","objects","The bag is under the chair.","包在椅子下面。","object location","The bag sits beneath the chair."
"7","neutral","objects","This notebook has a blue cover.","这个笔记本是蓝色封面的。","simple object description","This notebook comes with a blue cover."
"8","neutral","objects","The phone battery is low.","手机快没电了。","common object state","The phone is nearly out of power."
"9","neutral","objects","There is a bottle on the desk.","桌上有一个瓶子。","object location","A bottle is sitting on the table."
"10","neutral","objects","My jacket is in the closet.","我的外套在衣柜里。","object location","My coat is inside the wardrobe."
"11","neutral","emotions","I felt tired after class.","下课后我觉得很累。","basic emotion","After class, I felt very worn out."
"12","neutral","emotions","She was happy about the result.","她对这个结果很开心。","basic emotion","She felt pleased with this result."
"13","neutral","emotions","He felt nervous before the meeting.","开会前他有点紧张。","basic emotion","Before the meeting, he was somewhat anxious."
"14","neutral","emotions","I was surprised by the message.","这条消息让我有些意外。","basic emotion","This message caught me a bit off guard."
"15","neutral","emotions","They felt relaxed on the weekend.","周末他们感觉很放松。","basic emotion","On the weekend, they felt quite at ease."
"16","neutral","school","I reviewed my notes before the quiz.","测验前我复习了笔记。","school activity","Before the test, I went over my notes."
"17","neutral","school","The teacher explained the problem clearly.","老师把这道题讲得很清楚。","school activity","The teacher explained this question very clearly."
"18","neutral","school","She borrowed a book from the library.","她从图书馆借了一本书。","school activity","She checked out a book from the library."
"19","neutral","school","We discussed the project after class.","我们下课后讨论了项目。","school activity","After class, we talked over the project."
"20","neutral","school","He submitted the assignment online.","他在网上提交了作业。","school activity","He turned in the homework online."
"21","neutral","work","I sent the report before noon.","我中午前发出了报告。","work activity","I sent off the report before noon."
"22","neutral","work","She joined the meeting on time.","她准时参加了会议。","work activity","She was present at the meeting right on time."
"23","neutral","work","He checked the email during lunch.","他午饭时看了邮件。","work activity","He looked at his email during lunch."
"24","neutral","work","The team finished the task today.","团队今天完成了任务。","work activity","The team got the task done today."
"25","neutral","work","I made a short plan for tomorrow.","我简单安排了明天的计划。","work activity","I briefly arranged tomorrow's plan."
"26","neutral","weather","It rained for most of the afternoon.","下午大部分时间都在下雨。","weather","It was raining for most of the afternoon."
"27","neutral","weather","The sky was clear this morning.","今天早上天空很晴朗。","weather","The sky looked very clear this morning."
"28","neutral","weather","The wind became stronger at night.","晚上风变大了。","weather","The wind picked up in the evening."
"29","neutral","weather","It was warm outside after lunch.","午饭后外面很暖和。","weather","It felt warm outside after lunch."
"30","neutral","weather","The snow covered the street.","雪盖住了街道。","weather","The street was covered with snow."
"31","neutral","locations","The cafe is next to the station.","咖啡馆就在车站旁边。","location","The cafe is right beside the station."
"32","neutral","locations","The classroom is on the third floor.","教室在三楼。","location","The classroom is located on the third floor."
